Question,Answer,Difficulty,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3
What symbol is used to denote a single-line comment in C++? ,//,1,->',new,&&
How do you declare an integer variable in C++?,int,1,;,&&,+
What is the keyword used to end a C++ statement?,;,1,->',+,int
What C++ construct is used for making decisions based on a condition?,If Statement,1,int& refVar = x;,Templates allow generic programming by defining functions or classes that can work with any data type.,Object-Oriented Programming
How do you perform addition in C++?,+,1,6,&&,;
"Which logical operator is used to represent ""logical AND"" in C++?",&&,1,6,;,10
What is the process of bundling data and methods that operate on the data in a single unit called?,Encapsulation,1,To allow access to members only within the same class.,"Constructors are used to initialize objects, while destructors are used to clean up resources.",Pass by array
What is the purpose of a constructor in C++?,Initializing an Object,1,"cout is used for output (printing), while cin is used for input (reading).",For input and output operations.,If Statement
Inheritance involves the concept of acquiring properties and behaviors from a '____' class.,Base,1,enum,string,final
How do you dynamically allocate memory in C++?,new,2,6,;,10
What is the correct syntax for a C++ function declaration?,returnType functionName,2,It allows a derived class to redefine a base class function.,Encapsulation,Providing a new implementation for a base class function in a derived class
How do you include the contents of a header file in C++?,#include,2,iostream,final,class
What loop structure is used when the number of iterations is known beforehand? ,for loop,2,enum,iostream,Base
"In C++, what is the purpose of the ""break"" statement?",Exit loop or switch statement,2,To refer to the current instance of a class.,A method used for destroying objects and freeing up resources.,Ambiguity when a class inherits from two classes that have a common ancestor
"What is the result of the expression ""5 == 5"" in C++?",true,2,private,string,final
What is the access specifier that allows a class to hide its members from outside access?,private,2,class,final,true
Polymorphism in C++ can be achieved through ____.,Function overloading,2,"Members of a struct are public by default, while members of a class are private by default.",It means the member is shared among all instances of the class.,Using classes such as ifstream and getline().
What is the purpose of a destructor in C++? ,Clean up resources when an object is destroyed,2,Lambda expressions are anonymous functions that can capture variables from their surrounding scope.,"The process of simplifying complex systems/code by hiding unnecessary details while highlighting essential features, that allow developers to see what an object does not rather than",Using the new keyword.
What is a lambda function in C++?,Anonymous Function,3,"The process of simplifying complex systems/code by hiding unnecessary details while highlighting essential features, that allow developers to see what an object does not rather than",It allows for late binding of function calls.,"array_name[size] = {value1, value2, ...};"
How do you declare a reference variable in C++?,Type &variableName,3,"(int x, int y) -> int { return x + y; }",Exit loop or switch statement,To allow access to private and protected members of another class.
"What is the purpose of the ""typename"" keyword in C++ templates?",Specify that a dependent name is a type ,3,data_type variable_name;,"Members of a struct are public by default, while members of a class are private by default.",Variable that stores the memory address of another variable
Explain the concept of a pointer in C++.,Variable that stores the memory address of another variable,3,The process of bundling data and methods within a class and hiding the internal state of an object,"Runtime polymorphism is achieved through virtual functions and dynamic binding, while compile-time polymorphism is achieved through templates and function overloading.",It specifies that a member function is declared in the base class and overridden in derived classes.
"What is the difference between ""++i"" and ""i++"" in C++?",Pre-increment and post-increment operators,3,"cout is used for output (printing), while cin is used for input (reading).",It allows for late binding of function calls.,It indicates that a function's body should be expanded inline by the compiler.
"What is the purpose of the ""volatile"" keyword in C++?",Indicate that a variable may be changed by external factors ,3,It allows a derived class to redefine a base class function.,To allow access to private and protected members of another class.,It allows for late binding of function calls.
What is the diamond problem in the context of multiple inheritance in C++?,Ambiguity when a class inherits from two classes that have a common ancestor,3,"array_name[size] = {value1, value2, ...};",It allows a function to have multiple definitions with different parameters.,Function overloading
What is a pure virtual function in C++?,"A virtual function without a definition in the base class, making it abstract",3,It specifies that a member function is declared in the base class and overridden in derived classes.,To allow access to private and protected members of another class.,int& refVar = x;
Explain the concept of function overriding in C++.,Providing a new implementation for a base class function in a derived class,3,"The process of simplifying complex systems/code by hiding unnecessary details while highlighting essential features, that allow developers to see what an object does not rather than","Members of a struct are public by default, while members of a class are private by default.","cout is used for output (printing), while cin is used for input (reading)."
What is the syntax for declaring a variable in C++?,data_type variable_name;,1,It specifies that a member function is declared in the base class and overridden in derived classes.,It represents a null pointer.,"A virtual function without a definition in the base class, making it abstract"
Explain the difference between pass by value and pass by reference in C++?,"Pass by value makes a copy of the actual parameter's value, while pass by reference allows the function to directly access and modify the actual parameter",1,It specifies that a member function is declared in the base class and overridden in derived classes.,Ambiguity when a class inherits from two classes that have a common ancestor,An abstract class cannot be instantiated and may contain pure virtual functions.
How do you initialize an array in C++?,"array_name[size] = {value1, value2, ...};",1,To restrict access to members to only the derived classes.,Ambiguity when a class inherits from two classes that have a common ancestor,Exit loop or switch statement
What is the purpose of the iostream library in C++?,For input and output operations.,1,If Statement,int& refVar = x;,The ability of objects to take on multiple forms in a code. Objects of different classes to be treated as objects of a common superclass
What is the difference between cout and cin in C++?,"cout is used for output (printing), while cin is used for input (reading).",1,To refer to the current instance of a class.,Using the new keyword.,"A customer information class encapsulating details such as name, address, and contact information."
Explain the concept of pointers in C++ and provide an example.,Pointers are variables that store memory addresses. Example: int *ptr;,2,Variable that stores the memory address of another variable,Exit loop or switch statement,Lambda expressions are anonymous functions that can capture variables from their surrounding scope.
What is the difference between struct and class in C++?,"Members of a struct are public by default, while members of a class are private by default.",2,It specifies that a member function is declared in the base class and overridden in derived classes.,Multiple inheritance allows a class to inherit from multiple base classes. Issues include ambiguity and the diamond problem.,An abstract class cannot be instantiated and may contain pure virtual functions.
Describe the purpose of constructors and destructors in C++.,"Constructors are used to initialize objects, while destructors are used to clean up resources.",2,Variable that stores the memory address of another variable,"Function overloading involves redefining a base class function in a derived class, while function overriding involves having multiple functions with the same name but different parameters.",Providing a new implementation for a base class function in a derived class
How do you dynamically allocate memory in C++?,Using the new keyword.,2,Exit loop or switch statement,The ability to redefine the meaning of operators for user-defined types.,A teen account class inheriting properties from a parent account.
Explain the concept of inheritance in C++ with an example.,Inheritance allows a class to inherit properties and behaviors from another class. Example: class DerivedClass : public BaseClass {},2,Exit loop or switch statement,"Members of a struct are public by default, while members of a class are private by default.",Ambiguity when a class inherits from two classes that have a common ancestor
